GeneID	HHCCZ	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCGC	HHCGS
jgi.p|Neosp1|100073	171	280	211	371	351	378	88	381	161	291	190	188	175	315	315	164	67	97
jgi.p|Neosp1|100224	262	1252	1048	1474	826	1253	2477	4142	1408	4793	2441	882	3181	4388	3096	3031	3299	4089
jgi.p|Neosp1|100258	3	1	5	3	0	0	11	22	12	17	16	2	26	35	13	1	1	0
jgi.p|Neosp1|100266	16	57	19	34	22	33	10	25	10	15	25	20	31	27	23	7	24	12
jgi.p|Neosp1|100298	12	68	23	43	39	82	14	41	14	33	33	59	63	44	55	57	12	6
jgi.p|Neosp1|100359	400	886	518	731	957	1266	298	930	329	695	596	415	684	735	682	463	220	137
jgi.p|Neosp1|100420	440	368	208	348	341	245	115	360	157	249	247	221	194	282	319	144	488	246
jgi.p|Neosp1|10045	0	0	0	1	0	0	0	6	1	8	0	2	15	9	5	1	0	10
jgi.p|Neosp1|100480	6	10	8	7	30	52	2	22	10	19	14	5	15	15	17	9	1	2
jgi.p|Neosp1|100484	0	6	2	3	2	4	9	32	18	6	16	4	27	18	18	10	2	5
jgi.p|Neosp1|100603	758	1916	1154	1635	1631	2077	615	1879	673	1460	1101	963	1641	1831	1348	1233	919	1145
jgi.p|Neosp1|100778	0	13	3	8	1	4	8	24	20	32	13	17	97	52	25	4	1	2
jgi.p|Neosp1|1008	23	2	1	5	0	6	7	27	14	37	19	7	65	30	24	6	15	13
jgi.p|Neosp1|100909	0	4	5	1	2	4	2	4	0	0	2	5	2	1	2	0	7	3
jgi.p|Neosp1|101064	5	22	3	13	3	37	91	390	125	346	232	131	892	461	239	41	17	40
jgi.p|Neosp1|1011	13549	31310	18711	23514	17967	25816	7649	25036	9315	17630	14366	8133	24558	23055	16368	18982	21679	25554
jgi.p|Neosp1|101253	0	0	0	0	2	4	12	88	33	43	55	9	5	22	15	1	0	0
jgi.p|Neosp1|101463	13	17	31	35	17	27	9	48	49	42	21	14	22	18	35	24	5	1
jgi.p|Neosp1|101469	52	99	57	96	119	162	47	152	73	104	94	61	87	99	129	49	26	9
jgi.p|Neosp1|101653	165	671	392	510	575	852	183	680	231	469	373	271	509	551	568	361	134	84
jgi.p|Neosp1|101675	46	12	8	19	41	80	20	42	33	34	46	40	19	37	49	18	40	20
jgi.p|Neosp1|101801	16	134	70	99	31	39	19	50	20	27	48	61	39	30	34	56	16	9
jgi.p|Neosp1|101826	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|101951	10	38	38	74	24	49	19	40	34	36	27	20	25	33	31	15	38	49
jgi.p|Neosp1|102013	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
jgi.p|Neosp1|102107	278	78	60	37	187	435	117	406	173	268	281	148	217	160	244	110	468	343
jgi.p|Neosp1|102344	3	28	8	13	2	6	16	43	17	36	27	26	109	55	31	6	1	1
jgi.p|Neosp1|102496	10	13	4	3	2	0	4	29	17	19	26	11	100	40	31	5	15	29
jgi.p|Neosp1|102643	44	102	60	97	139	145	52	180	83	111	108	63	137	119	133	60	25	17
jgi.p|Neosp1|102822	0	17	11	11	1	1	1	2	0	0	2	2	0	0	1	0	4	10
jgi.p|Neosp1|102869	9	120	89	95	229	191	10	69	19	35	22	246	85	219	103	8	44	15
jgi.p|Neosp1|103013	18	25	8	7	33	50	7	33	10	19	26	26	41	36	30	20	19	5
jgi.p|Neosp1|103020	0	0	0	1	0	2	0	0	0	0	4	0	1	0	0	0	0	0
jgi.p|Neosp1|103030	0	0	0	0	0	0	1	19	3	8	4	2	23	3	9	0	1	0
jgi.p|Neosp1|103046	67	117	43	108	147	225	73	204	86	118	138	75	129	157	145	80	78	63
jgi.p|Neosp1|103234	0	0	0	0	0	1	3	3	0	7	4	1	20	14	5	2	0	0
jgi.p|Neosp1|103239	0	0	0	0	0	0	0	3	3	6	1	0	10	7	1	0	0	0
jgi.p|Neosp1|103240	0	10	1	7	7	6	19	70	25	68	32	27	141	84	41	8	0	1
jgi.p|Neosp1|103320	6	25	20	21	15	23	4	4	3	4	4	41	11	23	10	12	157	385
jgi.p|Neosp1|103335	53	97	53	101	91	140	26	106	44	67	66	53	68	93	96	67	18	7
jgi.p|Neosp1|103418	4	3	2	1	8	2	1	4	0	5	1	4	0	5	1	1	1	1
jgi.p|Neosp1|10357	18	208	85	177	203	296	164	548	213	277	293	205	396	294	250	232	4	9
jgi.p|Neosp1|103716	1640	3805	2460	3265	4837	4795	1972	6322	2249	4166	3547	2118	2861	4266	4398	1811	1144	585
jgi.p|Neosp1|103875	472	626	496	730	1469	1429	380	1156	450	906	659	641	633	1028	1100	489	685	841
jgi.p|Neosp1|10390	361	219	138	212	532	576	181	642	216	411	435	211	216	428	536	217	211	69
jgi.p|Neosp1|10420	22	74	23	35	45	67	18	48	29	36	39	40	51	54	49	20	16	3
jgi.p|Neosp1|104343	7	6	6	13	6	15	2	6	2	10	11	5	9	13	15	14	2	0
jgi.p|Neosp1|104344	11	11	17	18	7	17	1	10	5	13	3	5	4	5	10	18	1	0
jgi.p|Neosp1|104586	26	106	58	101	78	148	31	95	48	54	56	77	64	77	58	41	16	10
jgi.p|Neosp1|104665	42	55	49	71	81	132	52	146	55	128	85	54	94	101	105	41	26	14
jgi.p|Neosp1|104754	897	2273	1260	2023	2829	3802	781	2644	1019	1438	1597	929	1595	1997	1993	978	1197	505
jgi.p|Neosp1|104930	0	0	0	0	0	1	0	6	3	8	8	0	10	7	7	1	0	0
jgi.p|Neosp1|105093	4	0	1	3	6	20	5	9	3	9	6	4	4	1	10	1	0	1
jgi.p|Neosp1|105218	0	5	0	0	0	2	7	11	6	16	9	1	96	25	18	1	1	0
jgi.p|Neosp1|105370	5	26	33	34	17	3	0	5	5	0	3	34	2	0	1	5	14	18
jgi.p|Neosp1|105379	7	43	17	40	2	10	3	18	3	4	11	21	9	1	0	9	64	57
jgi.p|Neosp1|105387	17	23	19	23	13	27	11	16	15	20	21	28	25	20	17	12	2	15
jgi.p|Neosp1|105393	9	11	5	11	28	41	7	36	12	21	25	10	15	19	25	11	3	1
jgi.p|Neosp1|105555	25	18	16	24	38	39	18	64	32	35	37	83	34	33	41	27	52	81
jgi.p|Neosp1|105765	0	0	2	1	2	0	0	0	0	0	0	2	70	0	0	55	3	0
jgi.p|Neosp1|105875	145	1146	1035	1227	1734	2329	1725	4549	1540	3011	2213	1220	2882	3147	3466	1672	197	150
jgi.p|Neosp1|106033	35	217	159	221	189	211	75	262	108	154	164	162	150	224	201	150	37	54
jgi.p|Neosp1|106058	1	4	3	3	4	3	7	25	14	20	17	9	74	44	27	19	6	6
jgi.p|Neosp1|106077	1	6	2	5	0	1	3	17	5	12	6	5	54	36	12	3	0	1
jgi.p|Neosp1|106129	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
jgi.p|Neosp1|106220	0	15	13	14	9	14	15	54	35	44	23	16	49	56	50	47	8	5
jgi.p|Neosp1|106260	13	48	26	43	66	86	14	55	27	35	43	35	32	46	73	19	7	0
jgi.p|Neosp1|106270	85	82	48	91	164	244	49	146	74	118	106	73	105	104	113	60	58	24
jgi.p|Neosp1|106299	4	34	25	42	12	41	6	41	15	19	21	84	53	41	32	54	11	4
jgi.p|Neosp1|10630	5	1	1	6	8	4	4	8	7	15	15	8	23	15	20	2	1	12
jgi.p|Neosp1|106535	107	214	91	171	225	270	68	228	113	128	166	91	231	228	169	126	56	26
jgi.p|Neosp1|106631	42	79	71	132	233	458	179	626	301	354	395	144	253	393	402	155	31	7
jgi.p|Neosp1|106828	198	1383	982	1357	1283	1658	344	983	336	793	594	565	1098	1164	932	1008	159	75
jgi.p|Neosp1|106854	104	611	435	543	593	816	195	504	184	429	250	256	565	555	466	467	65	35
jgi.p|Neosp1|107093	1001	1469	865	1372	1590	1614	529	1774	783	1128	950	588	541	1105	1287	535	619	221
