GeneID	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCCZ	HHCGC	HHCGS
jgi.p|Neosp1|100073	7.57	9.34	11.99	10.7	9.09	6.12	8.16	9.38	9.53	6.89	13.04	5.47	8.48	9.83	7.39	10.09	2.39	3.17
jgi.p|Neosp1|100224	51.17	70.19	72.03	38.06	45.58	260.66	134.13	124.1	237.37	133.82	92.49	150.35	178.7	146.07	206.5	23.39	177.76	202.16
jgi.p|Neosp1|100258	0.03	0.22	0.1	0.0	0.0	0.75	0.46	0.69	0.55	0.57	0.14	0.8	0.92	0.4	0.04	0.17	0.03	0.0
jgi.p|Neosp1|100266	1.87	1.02	1.33	0.81	0.96	0.84	0.65	0.71	0.6	1.1	1.68	1.18	0.88	0.87	0.38	1.15	1.04	0.48
jgi.p|Neosp1|100298	1.59	0.88	1.2	1.03	1.7	0.84	0.76	0.7	0.93	1.03	3.53	1.7	1.02	1.48	2.22	0.61	0.37	0.17
jgi.p|Neosp1|100359	61.4	58.82	60.57	74.77	78.08	53.17	51.06	49.17	58.36	55.4	73.79	54.81	50.75	54.55	53.48	60.55	20.1	11.48
jgi.p|Neosp1|100420	19.24	17.82	21.75	20.1	11.4	15.48	14.91	17.7	15.77	17.32	29.64	11.73	14.69	19.25	12.55	50.24	33.63	15.55
jgi.p|Neosp1|10045	0.0	0.0	0.04	0.0	0.0	0.0	0.17	0.08	0.35	0.0	0.18	0.62	0.32	0.21	0.06	0.0	0.0	0.43
jgi.p|Neosp1|100480	0.34	0.45	0.29	1.15	1.58	0.18	0.59	0.74	0.79	0.64	0.44	0.59	0.51	0.67	0.51	0.45	0.04	0.08
jgi.p|Neosp1|100484	0.36	0.2	0.22	0.14	0.21	1.4	1.53	2.34	0.44	1.29	0.62	1.88	1.08	1.25	1.0	0.0	0.16	0.36
jgi.p|Neosp1|100603	115.42	113.91	117.76	110.78	111.36	95.39	89.69	87.43	106.57	88.96	148.85	114.32	109.91	93.74	123.81	99.75	72.99	83.44
jgi.p|Neosp1|100778	0.2	0.08	0.15	0.02	0.05	0.32	0.29	0.66	0.6	0.27	0.67	1.72	0.8	0.44	0.1	0.0	0.02	0.04
jgi.p|Neosp1|1008	0.03	0.02	0.08	0.0	0.07	0.24	0.28	0.4	0.59	0.34	0.24	0.99	0.39	0.37	0.13	0.66	0.26	0.21
jgi.p|Neosp1|100909	0.13	0.27	0.04	0.07	0.12	0.17	0.1	0.0	0.0	0.09	0.42	0.08	0.03	0.08	0.0	0.0	0.3	0.12
jgi.p|Neosp1|101064	0.61	0.14	0.43	0.09	0.91	6.51	8.58	7.48	11.64	8.64	9.33	28.64	12.75	7.66	1.9	0.3	0.62	1.34
jgi.p|Neosp1|1011	2381.24	2331.82	2138.2	1540.66	1747.43	1497.81	1508.65	1527.74	1624.75	1465.49	1587.1	2159.87	1747.19	1436.98	2406.45	2250.93	2173.68	2350.93
jgi.p|Neosp1|101253	0.0	0.0	0.0	0.09	0.15	1.29	2.92	2.98	2.18	3.09	0.97	0.24	0.92	0.73	0.07	0.0	0.0	0.0
jgi.p|Neosp1|101463	1.04	3.11	2.56	1.17	1.47	1.42	2.33	6.47	3.12	1.72	2.2	1.56	1.1	2.47	2.45	1.74	0.4	0.07
jgi.p|Neosp1|101469	3.32	3.13	3.85	4.5	4.84	4.06	4.04	5.28	4.23	4.23	5.25	3.37	3.31	4.99	2.74	3.81	1.15	0.37
jgi.p|Neosp1|101653	27.73	26.55	25.2	26.8	31.34	19.48	22.27	20.59	23.49	20.68	28.74	24.33	22.69	27.1	24.87	14.9	7.3	4.2
jgi.p|Neosp1|101675	1.01	1.1	1.91	3.88	5.97	4.32	2.79	5.97	3.46	5.18	8.61	1.84	3.09	4.74	2.52	8.43	4.42	2.03
jgi.p|Neosp1|101801	12.11	10.36	10.7	3.16	3.14	4.42	3.58	3.9	2.96	5.82	14.14	4.08	2.7	3.55	8.43	3.16	1.91	0.98
jgi.p|Neosp1|101826	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|101951	1.06	1.74	2.47	0.76	1.22	1.37	0.89	2.05	1.22	1.01	1.43	0.81	0.92	1.0	0.7	0.61	1.4	1.66
jgi.p|Neosp1|102013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|102107	1.79	2.25	1.01	4.83	8.87	6.9	7.37	8.55	7.44	8.64	8.7	5.75	3.65	6.45	4.2	13.91	14.14	9.51
jgi.p|Neosp1|102344	0.38	0.18	0.21	0.03	0.07	0.56	0.46	0.5	0.6	0.49	0.91	1.72	0.75	0.49	0.14	0.09	0.02	0.02
jgi.p|Neosp1|102496	0.18	0.09	0.05	0.03	0.0	0.14	0.31	0.5	0.31	0.47	0.38	1.57	0.54	0.49	0.11	0.3	0.27	0.48
jgi.p|Neosp1|102643	10.24	9.87	11.64	15.73	12.96	13.44	14.32	17.97	13.5	14.54	16.23	15.91	11.91	15.41	10.04	9.65	3.31	2.06
jgi.p|Neosp1|102822	1.71	1.82	1.33	0.11	0.09	0.26	0.16	0.0	0.0	0.27	0.52	0.0	0.0	0.12	0.0	0.0	0.53	1.22
jgi.p|Neosp1|102869	3.92	4.76	3.71	8.43	5.55	0.84	1.79	1.34	1.39	0.96	20.62	3.21	7.13	3.88	0.44	0.64	1.89	0.59
jgi.p|Neosp1|103013	0.84	0.44	0.28	1.25	1.49	0.61	0.88	0.72	0.77	1.17	2.24	1.59	1.2	1.16	1.12	1.32	0.84	0.2
jgi.p|Neosp1|103020	0.0	0.0	0.3	0.0	0.44	0.0	0.0	0.0	0.0	1.33	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0
jgi.p|Neosp1|103030	0.0	0.0	0.0	0.0	0.0	0.25	1.48	0.64	0.95	0.53	0.5	2.61	0.29	1.02	0.0	0.0	0.13	0.0
jgi.p|Neosp1|103046	3.24	1.95	3.58	4.59	5.54	5.2	4.48	5.14	3.96	5.13	5.33	4.13	4.33	4.63	3.69	4.05	2.85	2.11
jgi.p|Neosp1|103234	0.0	0.0	0.0	0.0	0.03	0.29	0.09	0.0	0.32	0.2	0.1	0.87	0.53	0.22	0.13	0.0	0.0	0.0
jgi.p|Neosp1|103239	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.27	0.3	0.06	0.0	0.47	0.29	0.05	0.0	0.0	0.0	0.0
jgi.p|Neosp1|103240	0.26	0.04	0.22	0.21	0.14	1.27	1.44	1.4	2.14	1.12	1.8	4.24	2.18	1.23	0.35	0.0	0.0	0.03
jgi.p|Neosp1|103320	0.42	0.55	0.42	0.28	0.34	0.17	0.05	0.11	0.08	0.09	1.76	0.21	0.38	0.19	0.34	0.22	3.47	7.8
jgi.p|Neosp1|103335	1.59	1.43	1.98	1.69	2.05	1.1	1.38	1.56	1.33	1.45	2.23	1.29	1.52	1.82	1.83	1.9	0.39	0.14
jgi.p|Neosp1|103418	0.17	0.19	0.07	0.52	0.1	0.15	0.18	0.0	0.35	0.08	0.59	0.0	0.28	0.07	0.1	0.5	0.08	0.07
jgi.p|Neosp1|10357	6.64	4.45	6.76	7.31	8.41	13.48	13.86	14.66	10.71	12.55	16.79	14.62	9.35	9.21	12.34	1.26	0.17	0.35
jgi.p|Neosp1|103716	281.41	298.13	288.72	403.34	315.62	375.51	370.46	358.69	373.35	351.86	401.93	244.69	314.38	375.47	223.26	264.95	111.54	52.34
jgi.p|Neosp1|103875	14.03	18.22	19.57	37.13	28.51	21.93	20.53	21.76	24.61	19.82	36.87	16.41	22.96	28.47	18.27	23.11	20.25	22.81
jgi.p|Neosp1|10390	12.12	12.52	14.03	33.2	28.37	25.79	28.15	25.78	27.56	32.29	29.96	13.82	23.6	34.24	20.02	43.64	15.4	4.62
jgi.p|Neosp1|10420	4.94	2.52	2.8	3.39	3.98	3.1	2.54	4.18	2.91	3.49	6.86	3.94	3.59	3.78	2.23	3.21	1.41	0.24
jgi.p|Neosp1|104343	0.26	0.43	0.68	0.29	0.58	0.22	0.21	0.19	0.53	0.64	0.56	0.45	0.56	0.75	1.02	0.67	0.11	0.0
jgi.p|Neosp1|104344	0.46	1.17	0.9	0.33	0.63	0.11	0.33	0.45	0.66	0.17	0.54	0.19	0.21	0.48	1.26	1.01	0.06	0.0
jgi.p|Neosp1|104586	7.23	6.48	8.24	6.0	8.98	5.44	5.13	7.06	4.46	5.12	13.48	5.05	5.23	4.57	4.66	3.87	1.44	0.83
jgi.p|Neosp1|104665	3.07	4.49	4.74	5.1	6.57	7.48	6.47	6.63	8.67	6.37	7.74	6.08	5.62	6.77	3.82	5.13	1.92	0.95
jgi.p|Neosp1|104754	51.78	47.04	55.1	72.67	77.09	45.81	47.73	50.06	39.7	48.8	54.3	42.02	45.33	52.41	37.14	44.64	35.95	13.92
jgi.p|Neosp1|104930	0.0	0.0	0.0	0.0	0.08	0.0	0.43	0.58	0.87	0.97	0.0	1.04	0.63	0.73	0.15	0.0	0.0	0.0
jgi.p|Neosp1|105093	0.0	0.11	0.24	0.45	1.2	0.86	0.48	0.43	0.73	0.54	0.69	0.31	0.07	0.78	0.11	0.59	0.0	0.08
jgi.p|Neosp1|105218	0.08	0.0	0.0	0.0	0.03	0.28	0.13	0.2	0.3	0.19	0.04	1.7	0.38	0.32	0.03	0.0	0.02	0.0
jgi.p|Neosp1|105370	1.41	2.92	2.2	1.04	0.14	0.0	0.21	0.58	0.0	0.22	4.72	0.13	0.0	0.06	0.45	0.59	1.0	1.18
jgi.p|Neosp1|105379	2.43	1.58	2.71	0.13	0.5	0.44	0.81	0.37	0.27	0.83	3.05	0.59	0.06	0.0	0.85	0.87	4.77	3.9
jgi.p|Neosp1|105387	0.7	0.95	0.84	0.45	0.74	0.87	0.39	0.99	0.74	0.86	2.2	0.88	0.61	0.6	0.61	1.14	0.08	0.56
jgi.p|Neosp1|105393	0.34	0.25	0.4	0.97	1.12	0.55	0.88	0.8	0.78	1.03	0.79	0.53	0.58	0.89	0.56	0.6	0.12	0.04
jgi.p|Neosp1|105555	0.4	0.58	0.63	0.94	0.76	1.02	1.12	1.52	0.93	1.09	4.69	0.87	0.72	1.04	0.99	1.2	1.51	2.16
jgi.p|Neosp1|105765	0.0	0.28	0.1	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.44	7.0	0.0	0.0	7.92	0.0	0.34	0.0
jgi.p|Neosp1|105875	28.8	42.63	36.87	49.14	52.1	111.63	90.59	83.47	91.71	74.61	78.68	83.77	78.82	100.56	70.05	7.96	6.53	4.56
jgi.p|Neosp1|106033	7.94	9.53	9.67	7.8	6.87	7.07	7.6	8.52	6.83	8.05	15.21	6.35	8.17	8.49	9.15	2.8	1.79	2.39
jgi.p|Neosp1|106058	0.12	0.14	0.1	0.13	0.08	0.52	0.57	0.87	0.7	0.66	0.66	2.46	1.26	0.9	0.91	0.06	0.23	0.21
jgi.p|Neosp1|106077	0.22	0.12	0.22	0.0	0.03	0.29	0.5	0.4	0.54	0.3	0.48	2.33	1.34	0.52	0.19	0.08	0.0	0.05
