proteinID,description,modelnotes,defline
3013,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
21290,DOC2-DOC2,,Non-Catalytic Module Family DOC2
21349,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
24862,GH36,,Glycoside Hydrolase Family 36 protein
28586,GH45,,Glycoside Hydrolase Family 45 protein
39291,GT41,(fragment)  splicing problem;,Glycosyltransferase Family 41 protein
48067,CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
49410,GH48-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
49584,GT2,,Glycosyltransferase Family 2 protein
50115,GT71,,Glycosyltransferase Family 71 protein
58399,CBM18,,Carbohydrate-Binding Module Family 18 protein
58603,CBM26-GH31,,Carbohydrate-Binding Module Family 26  / Glycoside Hydrolase Family 31 protein
59568,GH18,,Glycoside Hydrolase Family 18 protein
62626,PL3_2,(fragment)  splicing problem;,Polysaccharide Lyase Family 3 protein
64513,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
74392,CBM52-DOC2-GH16-GH16-GH16,,Carbohydrate-Binding Module Family 52  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 16 protein
82127,DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
90890,GH43,,Glycoside Hydrolase Family 43 protein
90897,GH43,,Glycoside Hydrolase Family 43 protein
90905,GH43,,Glycoside Hydrolase Family 43 protein
91685,CBM18,,Carbohydrate-Binding Module Family 18 protein
92305,DOC2-DOC2-GH5_4,fragment C-term;,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
92306,GH5_4-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
98074,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
98242,CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
98807,GH20,fragment C-term;,Glycoside Hydrolase Family 20 protein
100224,PL1,,Polysaccharide Lyase Family 1 protein
100603,GH45-DOC2-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 45  / Non-Catalytic Module Family DOC2
101064,GH11,,Glycoside Hydrolase Family 11 protein
101653,DOC2-DOC2-CE1,,Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
102869,CBM1-CBM1,,Carbohydrate-Binding Module Family 1 protein
105765,GH16,,Glycoside Hydrolase Family 16 protein
105875,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
106828,GH45,,Glycoside Hydrolase Family 45 protein
106854,DOC2-DOC2,,Non-Catalytic Module Family DOC2
109913,CBM1-PL1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
109917,CBM1-PL1,,Carbohydrate-Binding Module Family 1  / Polysaccharide Lyase Family 1 protein
113127,GH5_4,fragment N-term;,Glycoside Hydrolase Family 5 protein
114037,GT33,fragment C-term;,Glycosyltransferase Family 33 protein
114648,GT10,fragment C-term;,Glycosyltransferase Family 10 protein
115883,DOC2,,Non-Catalytic Module Family DOC2
122604,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
124562,DOC2-DOC2,,Non-Catalytic Module Family DOC2
130790,CBM12,,Carbohydrate-Binding Module Family 12 protein
132621,CBM18-GH18-DOC2-DOC2,,Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18  / Non-Catalytic Module Family DOC2
136312,GH5_4-DOC2-DOC2,,Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
141915,DOC2-DOC2-CBM10,,Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 10 protein
144849,GH45,fragment N-term / C-term;,Glycoside Hydrolase Family 45 protein
150427,DOC2,,Non-Catalytic Module Family DOC2
150710,CE6-DOC2-DOC2,,Carbohydrate Esterase Family 6  / Non-Catalytic Module Family DOC2
153594,GH18,fragment N-term;,Glycoside Hydrolase Family 18 protein
156602,CBM21,,Carbohydrate-Binding Module Family 21 protein
162120,CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
163936,GH1,,Glycoside Hydrolase Family 1 protein
166397,GH45,fragment C-term;,Glycoside Hydrolase Family 45 protein
169058,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
177128,GH5_1,,Glycoside Hydrolase Family 5 protein
181162,GH114,,Glycoside Hydrolase Family 114 protein
182931,CBM1,,Carbohydrate-Binding Module Family 1 protein
194797,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
199364,PL1,,Polysaccharide Lyase Family 1 protein
200796,CBM35-GH26-DOC2-DOC2,,Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
205767,GT1,,Glycosyltransferase Family 1 protein
209221,CBM29-CBM29-CBM29-CBM1,,Carbohydrate-Binding Module Family 29  / Carbohydrate-Binding Module Family 1 protein
211279,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
214070,CBM10-CBM10-CBM10,,Carbohydrate-Binding Module Family 10 protein
215444,CBM18,,Carbohydrate-Binding Module Family 18 protein
215448,CBM18,,Carbohydrate-Binding Module Family 18 protein
216413,GH48-DOC2-DOC2,,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
216560,GH48-DOC2-DOC2,fragment N-term;,Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
219071,DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2,,Non-Catalytic Module Family DOC2
223839,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
225893,GH114,,Glycoside Hydrolase Family 114 protein
230365,GH9-CBM13-GH43-DOC2-DOC2-DOC2,,Glycoside Hydrolase Family 9  / Carbohydrate-Binding Module Family 13  / Glycoside Hydrolase Family 43  / Non-Catalytic Module Family DOC2
233293,GT4,,Glycosyltransferase Family 4 protein
233793,GH5_5-CBM10,,Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10 protein
250107,DOC2-DOC2,,Non-Catalytic Module Family DOC2
258341,CE4,,Carbohydrate Esterase Family 4 protein
263596,CBM18,,Carbohydrate-Binding Module Family 18 protein
265432,DOC2-DOC2-GH6-DOC2,,Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
266649,GT4,,Glycosyltransferase Family 4 protein
267501,GH11-CBM1,,Glycoside Hydrolase Family 11  / Carbohydrate-Binding Module Family 1 protein
267629,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
277794,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
277852,CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
278273,GH11-GH11-GH11,,Glycoside Hydrolase Family 11 protein
278354,CE8-CBM1,,Carbohydrate Esterase Family 8  / Carbohydrate-Binding Module Family 1 protein
281327,PL1,,Polysaccharide Lyase Family 1 protein
290570,CBM18,,Carbohydrate-Binding Module Family 18 protein
290586,CBM18,,Carbohydrate-Binding Module Family 18 protein
295938,CBM18,,Carbohydrate-Binding Module Family 18 protein
299841,CBM18-CBM18-CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
301056,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
302274,GH5_5,fragment C-term;,Glycoside Hydrolase Family 5 protein
302423,CBM18-CBM18-CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
302732,GH31,,Glycoside Hydrolase Family 31 protein
302847,CE15,fragment N-term;,Carbohydrate Esterase Family 15 protein
302893,GH10,fragment N-term / C-term;,Glycoside Hydrolase Family 10 protein
302928,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
303022,CBM18-CBM18-CBM18-CBM18,,Carbohydrate-Binding Module Family 18 protein
303696,GH3,fragment N-term;,Glycoside Hydrolase Family 3 protein
304389,CBM18-CBM18-CE4,fragment N-term;,Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
306930,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
308730,GH5_5,,Glycoside Hydrolase Family 5 protein
308871,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
309647,GT34,fragment N-term / C-term;,Glycosyltransferase Family 34 protein
309673,CBM18-CBM18,fragment N-term;,Carbohydrate-Binding Module Family 18 protein
