#proteinId	gotermId	goName	gotermType	goAcc
21001	3878	spliceosome	cellular_component	GO:0005681
21001	5160	mitosis	biological_process	GO:0007067
49410	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
49410	4143	carbohydrate metabolic process	biological_process	GO:0005975
49410	2290	catalytic activity	molecular_function	GO:0003824
62999	3042	protein-S-isoprenylcysteine O-methyltransferase activity	molecular_function	GO:0004671
62999	4614	C-terminal protein amino acid methylation	biological_process	GO:0006481
62999	9321	integral to membrane	cellular_component	GO:0016021
76278	3708	binding	molecular_function	GO:0005488
76330	2290	catalytic activity	molecular_function	GO:0003824
76330	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
76330	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
76330	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
76330	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
76330	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
76397	3724	calcium ion binding	molecular_function	GO:0005509
76397	3546	transporter activity	molecular_function	GO:0005215
76397	4927	transport	biological_process	GO:0006810
76452	3736	ATP binding	molecular_function	GO:0005524
76452	4927	transport	biological_process	GO:0006810
76452	9321	integral to membrane	cellular_component	GO:0016021
76452	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
76452	10082	ATPase activity	molecular_function	GO:0016887
76452	162	nucleotide binding	molecular_function	GO:0000166
76452	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
76529	2290	catalytic activity	molecular_function	GO:0003824
76529	6667	biosynthetic process	biological_process	GO:0009058
76715	5746	ARF GTPase activator activity	molecular_function	GO:0008060
76715	5939	zinc ion binding	molecular_function	GO:0008270
76715	15147	regulation of ARF GTPase activity	biological_process	GO:0032312
76715	3200	ubiquitin-protein ligase activity	molecular_function	GO:0004842
76715	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
76715	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
76715	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
76715	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
76877	3149	thiamin-phosphate diphosphorylase activity	molecular_function	GO:0004789
76877	6833	thiamin biosynthetic process	biological_process	GO:0009228
76877	4283	electron transport	biological_process	GO:0006118
76877	9710	oxidoreductase activity	molecular_function	GO:0016491
80006	281	magnesium ion binding	molecular_function	GO:0000287
80006	2824	inorganic diphosphatase activity	molecular_function	GO:0004427
80006	3930	cytoplasm	cellular_component	GO:0005737
80006	4913	phosphate metabolic process	biological_process	GO:0006796
80006	4639	proteolysis	biological_process	GO:0006508
80006	13544	caspase activity	molecular_function	GO:0030693
80634	3228	signal transducer activity	molecular_function	GO:0004871
80634	2175	nucleic acid binding	molecular_function	GO:0003676
80634	3736	ATP binding	molecular_function	GO:0005524
80634	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
80721	3838	nucleus	cellular_component	GO:0005634
80721	13391	transcription regulator activity	molecular_function	GO:0030528
80721	19908	regulation of transcription	biological_process	GO:0045449
80758	2353	DNA-directed DNA polymerase activity	molecular_function	GO:0003887
80758	16887	DNA polymerase activity	molecular_function	GO:0034061
80846	3043	protein kinase activity	molecular_function	GO:0004672
80846	3736	ATP binding	molecular_function	GO:0005524
80846	4602	protein amino acid phosphorylation	biological_process	GO:0006468
80846	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
80846	3079	protein-tyrosine kinase activity	molecular_function	GO:0004713
80846	3642	sugar:hydrogen symporter activity	molecular_function	GO:0005351
80846	6993	phosphoenolpyruvate-dependent sugar phosphotransferase system	biological_process	GO:0009401
80846	3058	cAMP-dependent protein kinase activity	molecular_function	GO:0004691
80846	4123	cAMP-dependent protein kinase complex	cellular_component	GO:0005952
80933	3043	protein kinase activity	molecular_function	GO:0004672
80933	3736	ATP binding	molecular_function	GO:0005524
